Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees),Fees,Notes
2015-06-24T00:47:17Z,Buy,BTC,0.0001,USD,244.19,0.02,0.02,0,Bought 0.0001 BTC for $0.02 USD
2015-10-15T21:50:06Z,Buy,BTC,1.54858564,USD,255.74,396.04,400,3.96,Bought 1.54858564 BTC for $400.00 USD
2015-10-15T22:00:48Z,Buy,BTC,0.38802774,USD,255.16,99.01,100,0.99,Bought 0.38802774 BTC for $100.00 USD
2015-10-15T22:07:30Z,Send,BTC,0.292,USD,254.7,,,,Sent 0.2920 BTC to 1PPvzTraMPkjwnX5LHgG8LA99cmeQkqg7n
2015-12-08T07:47:23Z,Send,BTC,0.546,USD,393.04,,,,Sent 0.5460 BTC to 12Z9jBPGToWVf1CF1FATMC3UvHDTWHewyQ
2016-07-01T10:10:03Z,Send,BTC,0.279,USD,680.2,,,,Sent 0.2790 BTC to 383A78EiokzXeRasCRth2WEShLzsRCtiik
2016-07-01T22:56:21Z,Send,BTC,0.7,USD,683,,,,Sent 0.7000 BTC to 1AksH4MzzWqsE4JjZnA7Eyxv7TjWtjMHA4
2017-04-17T23:43:25Z,Send,BTC,0.119452,USD,1193.51,,,,Sent 0.119452 BTC to 188ok5goYmifMCCGoGBSzK3VkXeqKUt79o
2017-12-02T05:45:17Z,Buy,BTC,0.04529326,USD,10877.12,492.66,500,7.34,Bought 0.04529326 BTC for $500.00 USD
2017-12-12T07:23:03Z,Buy,BTC,0.06845814,USD,16856.43,1153.96,1200,46.04,"Bought 0.06845814 BTC for $1,200.00 USD"
2017-12-20T21:32:01Z,Sell,BTC,0.11401278,USD,16322.29,1860.95,1833.22,27.73,"Sold 0.11401278 BTC for $1,833.22 USD"
2017-12-22T21:45:46Z,Buy,BTC,0.06646901,USD,14823.75,985.32,1000,14.68,"Bought 0.06646901 BTC for $1,000.00 USD"
2018-05-05T02:01:59Z,Send,BTC,0.06646901,USD,9758.34,,,,Sent 0.06646901 BTC to 335E4NqtAJGBuXBubZ7xrj6a6qRAZo34Th
2018-06-25T04:09:46Z,Buy,BTC,0.07961479,USD,6188.05,492.66,500,7.34,Bought 0.07961479 BTC for $500.00 USD
2018-07-13T09:16:49Z,Send,BTC,0.07200839,USD,6236.96,,,,Sent 0.07200839 BTC to 3A4ckPCg1wfGbb65MVPdm71e85bvukJZdx
2018-09-17T17:39:07Z,Buy,BTC,0.04691619,USD,6300.6,295.6,300,4.4,Bought 0.04691619 BTC for $300.00 USD
2018-09-26T06:15:41Z,Send,BTC,0.03059422,USD,6445,,,,Sent 0.03059422 BTC to 3EdWcwXA7H8mm52Pa2aguE2bMc3rQXBwHu
2019-01-14T21:23:40Z,Send,BTC,0.02321862,USD,3665.54,,,,Sent 0.02321862 BTC to 3KsssirPkfFwH4H98ESoxZedKXyigEKVr3
2020-05-02T22:57:04Z,Buy,BTC,0.05489461,USD,8974.65,492.66,500,7.34,Bought 0.05489461 BTC for $500.00 USD
2020-05-18T05:03:00Z,Send,BTC,0.01020478,USD,9887.68,,,,Sent 0.01020478 BTC to 3NHryNTFoPB6JzK8Bt7Naxa2bFd1wcLp74
2020-06-08T00:45:37Z,Convert,BTC,0.04539958,USD,9765.29,435.86,443.34,7.48,Converted 0.04539958 BTC to 29.77216867 REP
2020-08-09T04:31:58Z,Send,BTC,0.015927,USD,11741.52,,,,Sent 0.015927 BTC to 35qBq97CXhcuiB5caWmV4i5DCwudhNPYQw
2020-08-09T04:49:05Z,Send,BTC,0.049209,USD,11714.74,,,,Sent 0.049209 BTC to 3Aea1tEMrPyNe5vkccehiyew59NbHTJHms
2020-08-12T01:49:04Z,Receive,BTC,0.03289269,USD,11366.64,,,,Received 0.03289269 BTC from an external account
2020-08-13T23:38:41Z,Send,BTC,0.04684985,USD,11762.2,,,,Sent 0.04684985 BTC to 1NtiYN1zvTzZtnDc4rocdpk7TDwRRsQk5S
2020-08-20T21:26:33Z,Send,BTC,0.03289269,USD,11888.24,,,,Sent 0.03289269 BTC to 1NtiYN1zvTzZtnDc4rocdpk7TDwRRsQk5S
2021-01-08T10:02:11Z,Receive,BTC,0.02881992,USD,39244.24,,,,Received 0.02881992 BTC from an external account
2021-01-08T10:19:02Z,Sell,BTC,0.02881992,USD,39472,1137.58,1120.63,16.95,"Sold 0.02881992 BTC for $1,120.63 USD"
2021-02-18T23:31:48Z,Buy,BTC,0.00950165,USD,51849.94,492.66,500,7.34,Bought 0.00950165 BTC for $500.00 USD
2021-02-18T23:52:12Z,Send,BTC,0.00950165,USD,51651.3,,,,Sent 0.00950165 BTC to 3PpJ6KGqmeWFqnEPaHcc3n7h55gi7ExPRh
2021-03-25T01:33:52Z,Buy,BTC,0.00794669,USD,52448.25,416.79,423,6.21,Bought 0.00794669 BTC for $423.00 USD
2021-03-26T17:37:27Z,Send,BTC,0.008701,USD,53827.76,,,,Sent 0.008701 BTC to 3DMkT4zse4GEiL4nMT5YXzQRSnGCge1khL
2021-03-26T23:04:30Z,Convert,BTC,0.0081181,USD,54526.31,433.57,442.65,9.08,Converted 0.0081181 BTC to 0.25740368 ETH
