"txid","ordertxid","pair","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers"
"TWM2D3-M3S6I-SCDAVR","OF55XI-FWOTR-FO3EZO","ADAUSD","2021-02-02 06:05:23.3447","buy","market",0.400904,400.904000,1.042350,1000.00000000,0.000000,"","LAUSIW-OYHUK-4NLXNG,LPP7Z5-RHFKA-N3U4HC"
"T33P5W-BBDNP-Q5DQ5W","OYR767-6YGXF-L43LAG","ADAUSD","2021-02-05 22:32:23.5961","buy","market",0.548001,328.800600,0.854882,600.00000000,0.000000,"","L5VV7A-DFSIS-LM56GX,L2TTZV-TDBG7-PPSM2I"
"TJUO2P-PDGMP-7D7R65","O6UQCN-Q6TCY-4KN4XT","LINKUSD","2021-02-09 23:56:15.2813","sell","market",27.674160,664.179840,1.726868,24.00000000,0.000000,"","LOLYLQ-K7GKN-HHDD4Y,LEYSYW-XW5AN-YO536N"
"TISDA3-GK7RR-EHPZ2X","OILEOQ-YUAXC-DQFUSV","USDCUSD","2021-02-09 23:59:26.3681","sell","market",0.99990000,150.40435807,0.30080872,150.41940000,0.00000000,"","LVR3PW-TXF3Q-64GQN7,LK27XN-OKZIC-OYYUBH"
"TXB25Z-4P7BB-CL2BM6","OKZKLX-RX3O5-362V6A","SNXUSD","2021-02-10 00:00:47.8483","buy","market",24.89600,624.20100,1.62292,25.07234100,0.00000,"","LGBLXY-GJTYH-RQFCQG,LRR4ZY-KXJXZ-D3ZG7D"
"T4ULGS-K3JCB-CBP3ZV","OIK6HW-D6SGG-CYQLTK","XETHZUSD","2021-02-10 01:23:23.5314","buy","market",1789.28000,205.90870,0.53536,0.11507908,0.00000,"","L3O4E2-3WFRS-AY4XC5,LD2HSM-CV4SG-AS73M5"
"T4QRJ6-ID3DX-XV7U7X","OUJZMM-7OMPK-EM56PR","SNXUSD","2021-02-12 04:25:02.9108","sell","stop market",25.43692,637.76321,1.65817,25.07234100,0.00000,"","LCQKM2-JMSHP-RAFZ2D,LW4AAE-4UPGK-DXUSET"
"TVGXQX-WTM4F-JPX4QH","OXYJDK-5T7PX-U5UTKA","DOTUSD","2021-02-12 21:52:14.112","buy","market",28.74050,634.45550,1.64958,22.07531184,0.00000,"","LRXGV7-TJ3J4-KSR4ZP,LHKD32-OTLL6-GTGISW"
"TCIH3H-XEF67-4YFVLG","O77VDR-OXMQG-DWW2HV","KNCUSD","2021-02-13 22:13:22.5667","sell","market",2.27310,194.76552,0.50639,85.68277447,0.00000,"","L3JB4B-SVCSO-NTYMSS,LBHXKM-O4J5Q-RWRILP"
"TVRZH3-UQN35-SJQYYL","OQ3ELB-FCUXO-MK73A3","XXMRZUSD","2021-02-13 22:17:55.9554","buy","market",239.53000000,193.75530000,0.50376378,0.80889784,0.00000000,"","LRHIAT-MRNCI-VPZXXJ,LTDWLO-WDC6R-IUUKKM"
"TK5AA2-2CW4L-S2AGUA","OAB3QZ-2MWCO-5KFICZ","XETHZUSD","2021-02-15 02:21:25.1242","sell","stop market",1699.99999,985.05687,2.56115,0.57944522,0.00000,"","LOYZTG-SS52K-6OSOND,LUMFTM-XR2NW-65R3E6"
"T2BI6L-N3NOQ-6TMQFY","OH4MJ7-C2GPG-C3XFH2","LINKUSD","2021-02-15 02:21:46.0938","sell","stop market",28.500000,507.559052,1.319653,17.80908952,0.000000,"","LRWI4B-F6Q6G-VYCSWX,LBZGT2-UCOER-B4KZC4"
"TUIKUC-ONGL6-VTZBEH","O5QDKJ-IAAPV-QFN46I","ADAUSD","2021-02-15 02:34:21.3306","sell","stop market",0.700000,1119.999999,2.912000,1599.99999993,0.000000,"","LEZHD4-ZVSHD-XMOIYW,LDI26Q-5GADV-MJCDF5"
"TZJUHK-LA2VD-V7AO7M","OVJ767-ZPDAA-F6TPBP","ADAUSD","2021-02-15 03:06:34.3966","buy","market",0.764605,1000.060293,2.600157,1307.94370000,0.000000,"","LANSWU-BA75D-WE4G2W,LEBFCQ-2T5DE-27SZZ4"
"TEI7BF-LVHZL-VWECSQ","OVJBHP-R6PMH-EB3OEK","KSMUSD","2021-02-15 03:19:56.3582","buy","market",146.18000,625.98001,1.62755,4.28225480,0.00000,"","LURB3G-KC673-C7J6JL,LPAEVF-YTDO7-HBDJGM"
"TLO6HZ-X7PL7-H2GQEP","O63S2Q-M6QFR-MQCZVR","XETHZUSD","2021-02-15 04:34:45.1648","buy","limit",1700.00000,973.99680,1.55839,0.57293929,0.00000,"","LOXKSZ-UTGYO-ODH2KL,L7ENPS-VWZPN-NJ7C6O"
"T3NBTN-JM4NM-ZXFI6M","OECAVN-HGGZD-3MUZR5","XETHZUSD","2021-02-15 22:38:47.4764","sell","market",1786.49001,1023.55032,2.66123,0.57293929,0.00000,"","LQQHWK-C5CQA-CL2QCV,LA6TGG-CTHA2-7JQO2H"
"TXQJG3-CGVQC-BHZAES","OLBPK5-6ZHWD-DIAWYA","KSMUSD","2021-02-15 22:39:33.1138","buy","market",195.69000,1018.24170,2.64743,5.20334049,0.00000,"","LQQWTE-CT6HB-YFBYLI,LNCZHC-2LIZY-NJKYXC"
"TPTLTJ-AT53O-FYXZN7","O2SP67-EYM3W-YVR4CB","ADAUSD","2021-02-16 00:35:14.3548","sell","market",0.837118,1094.902771,2.846748,1307.94370003,0.000000,"","LDFJ2X-TGJQV-LKPEE4,LETRRF-F775F-VS6AR4"
"TM2S7I-7FW52-U52UFK","O7OMKA-Z7XWN-NPY4RH","KSMUSD","2021-02-16 00:35:45.4176","buy","market",205.99101,1089.22408,2.83198,5.28772625,0.00000,"","LSN2GU-5LHEI-E7E56A,LIJMVR-MXXBT-OGENSF"
"TKOWVI-4DVTK-LRC27P","OJCITZ-4KWBY-A5CLFE","XXMRZUSD","2021-02-16 01:51:12.8084","sell","market",225.00350120,1192.49220171,3.10047973,5.29988287,0.00000000,"","LLUZRY-DBFJA-DNJPLZ,LA2LUQ-LIK3O-KRDQU5"
"TWSYMD-CPZBC-ELK3LE","OQHDFX-FTWZF-HCF4WU","ADAUSD","2021-02-16 01:51:55.7695","buy","market",0.876858,1186.307300,3.084399,1352.90697011,0.000000,"","LQACJO-PNHLC-DU3CTC,L7BJ2P-UBMBV-BD2HVI"
"TR4PXZ-X7MWC-C4W6LN","OMYMR6-4FRTM-G6THNW","KSMUSD","2021-02-16 20:10:56.985","sell","market",188.68000,2787.43028,7.24732,14.77332139,0.00000,"","L4VCYR-S2KMQ-OIOZSI,LM2X2H-BPTMQ-GGUUX3"
"TGWFKW-GIY6C-TLKMT5","OBWQL2-4FOAA-ULTBT3","XXBTZUSD","2021-02-16 20:12:01.8146","buy","market",48474.10000,695.04491,1.80712,0.01433848,0.00000,"","LSUIZW-QATVT-NVDSK7,LEFXPC-M5YOC-7HF2M6"
"TZ4FD7-I4SPW-BC6WFR","OJ6KLU-RFVDN-6IUYVW","XXBTZUSD","2021-02-17 11:56:03.9448","buy","market",51475.10000,2077.92840,5.40261,0.04036764,0.00000,"","LBALTA-UKXNR-RGSKNU,L26AIF-7PG4U-77KYNW"
"TV4GS3-AWMBE-KNXMHD","ORDJE5-O455M-VR6PYL","XXMRXXBT","2021-02-17 11:56:48.8024","buy","market",0.00486200,0.02735483,0.00007112,5.62625150,0.00000000,"","LRELO3-DJSJJ-LKZAXJ,LX4GUU-VG5CZ-VL3UHT"
"TPPZFR-IXVEC-5GJRC7","O7GDKW-JWKDL-OKVRVZ","XXMRXXBT","2021-02-18 02:23:56.3245","sell","market",0.00511800,0.02879516,0.00007487,5.62625145,0.00000000,"","LFLCUM-RHQ33-WOP53U,LM3YXH-QFHG2-SPCNSD"
"TW2RKJ-GQQW2-VBW2FP","OKNJLH-O2ERW-2EVAT5","XETHXXBT","2021-02-18 02:34:28.8901","buy","market",0.036560,0.028002,0.000073,0.76591920,0.000000,"","LCZURL-TNQQT-AWXVHU,LFY4F7-A67QE-PM7SKE"
